time,par
2014-12-08 22:53:34,199.216
2014-12-08 22:56:34,198.961
2014-12-08 22:59:34,197.917
2014-12-08 23:04:01,198.757
2014-12-08 23:07:01,199.216
2014-12-08 23:10:02,198.655
2014-12-08 23:22:19,197.637
2014-12-08 23:25:19,198.936
2014-12-08 23:28:19,198.477
2014-12-08 23:31:20,198.274
2014-12-08 23:34:20,198.605
2014-12-08 23:37:20,198.503
2014-12-08 23:40:20,198.401
2014-12-08 23:43:21,198.146
2014-12-08 23:46:21,198.426
2014-12-08 23:49:21,196.771
2014-12-08 23:52:21,197.484
2014-12-08 23:55:22,195.498
2014-12-08 23:58:22,194.886
2014-12-09 00:00:01,194.861
2014-12-09 00:03:02,193.307
2014-12-09 00:06:02,191.627
2014-12-09 00:09:02,191.448
2014-12-09 00:12:02,191.779
2014-12-09 00:15:03,190.812
2014-12-09 00:18:03,190.557
2014-12-09 00:21:03,190.43
2014-12-09 00:24:03,189.717
2014-12-09 00:27:04,188.749
2014-12-09 00:30:04,188.163
2014-12-09 00:33:04,188.723
2014-12-09 00:36:04,189.615
2014-12-09 00:39:04,189.131
2014-12-09 00:42:05,188.01
2014-12-09 00:45:05,184.674
2014-12-09 00:48:05,184.675
2014-12-09 00:51:05,183.529
2014-12-09 00:54:06,183.07
2014-12-09 01:11:02,177.824
2014-12-09 01:12:53,177.034
2014-12-09 01:15:53,176.805
2014-12-09 01:18:53,176.22
2014-12-09 01:21:53,174.412
2014-12-09 01:24:54,172.782
2014-12-09 01:27:54,173.291
2014-12-09 01:30:54,172.145
2014-12-09 01:35:52,169.573
2014-12-09 01:38:53,168.732
2014-12-09 01:41:53,167.078
2014-12-09 01:44:53,166.797
2014-12-09 01:47:53,164.709
2014-12-09 01:50:53,162.367
2014-12-09 01:53:54,159.184
2014-12-09 01:56:54,157.197
2014-12-09 01:59:54,153.709
2014-12-09 02:02:54,153.836
2014-12-09 02:05:55,151.977
2014-12-09 02:08:55,150.78
2014-12-09 02:11:55,148.08
2014-12-09 02:14:55,145.992
2014-12-09 02:17:55,142.86
2014-12-09 02:20:56,138.404
2014-12-09 02:23:56,137.589
2014-12-09 02:26:56,134.278
2014-12-09 02:29:56,131.731
2014-12-09 02:32:57,128.066
2014-12-09 02:35:57,126.104
2014-12-09 02:38:57,122.055
2014-12-09 02:41:57,120.782
2014-12-09 02:44:57,116.071
2014-12-09 02:47:58,112.861
2014-12-09 02:50:58,108.838
2014-12-09 02:53:58,104.381
2014-12-09 02:56:58,100.841
2014-12-09 02:59:59,95.238
2014-12-09 03:02:59,90.019
2014-12-09 03:05:59,84.263
2014-12-09 03:08:59,28.284
2014-12-09 03:11:59,70.944
2014-12-09 03:15:00,63.788
2014-12-09 03:18:00,55.638
2014-12-09 03:21:00,49.373
2014-12-09 03:24:00,40.587
2014-12-09 03:27:01,31.8
2014-12-09 03:30:01,25.356
2014-12-09 03:33:01,17.104
2014-12-09 03:36:02,8.369
2014-12-09 03:39:02,6.56
2014-12-09 03:42:02,5.058
2014-12-09 03:45:02,3.708
2014-12-09 03:48:02,2.587
2014-12-09 03:51:03,1.67
2014-12-09 03:54:03,1.135
2014-12-09 03:57:03,0.55
2014-12-09 04:00:03,0.193
2014-12-09 04:03:04,-0.011
2014-12-09 04:06:04,-0.138
2014-12-09 04:09:04,-0.24
2014-12-09 04:12:04,-0.291
2014-12-09 04:14:28,-0.291
2014-12-09 04:20:18,-0.342
2014-12-09 04:23:18,-0.342
2014-12-09 04:26:19,-0.342
2014-12-09 04:29:19,-0.342
2014-12-09 04:32:19,-0.342
2014-12-09 04:35:19,-0.495
2014-12-09 04:38:20,-0.342
2014-12-09 04:41:20,-0.342
2014-12-09 04:44:20,-0.342
2014-12-09 04:47:20,-0.367
2014-12-09 04:50:20,-0.342
2014-12-09 04:53:21,-0.367
2014-12-09 04:56:21,-0.342
2014-12-09 04:59:21,-0.316
2014-12-09 05:02:21,-0.342
2014-12-09 05:05:21,-0.342
2014-12-09 05:08:22,-0.342
2014-12-09 05:11:22,-0.342
2014-12-09 05:14:22,-0.342
2014-12-09 05:17:22,-0.316
2014-12-09 05:20:23,-0.342
2014-12-09 05:23:23,-0.342
2014-12-09 05:26:23,-0.342
2014-12-09 05:29:23,-0.342
2014-12-09 05:32:23,-0.342
2014-12-09 05:35:24,-0.342
2014-12-09 05:38:24,-0.342
2014-12-09 05:41:24,-0.342
2014-12-09 05:44:24,-0.342
2014-12-09 05:47:25,-0.342
2014-12-09 05:50:25,-0.342
2014-12-09 05:53:25,-0.342
2014-12-09 05:56:25,-0.342
2014-12-09 05:59:25,-0.342
2014-12-09 06:02:26,-0.342
2014-12-09 06:05:26,-0.342
2014-12-09 06:08:26,-0.342
2014-12-09 06:11:26,-0.342
2014-12-09 06:14:26,-0.342
2014-12-09 06:17:27,-0.342
2014-12-09 06:20:27,-0.342
2014-12-09 06:23:27,-0.342
2014-12-09 06:26:27,-0.342
2014-12-09 06:29:27,-0.342
2014-12-09 06:32:28,-0.342
2014-12-09 06:35:28,-0.342
2014-12-09 06:38:28,-0.342
2014-12-09 06:41:28,-0.342
2014-12-09 06:44:29,-0.342
2014-12-09 06:47:29,-0.342
2014-12-09 06:50:29,-0.342
2014-12-09 06:53:29,-0.367
2014-12-09 06:56:29,-1.335
2014-12-09 06:59:30,-0.393
2014-12-09 07:02:30,-0.444
2014-12-09 07:05:30,-0.418
2014-12-09 07:08:30,-1.692
2014-12-09 07:11:30,-0.393
2014-12-09 07:14:31,-0.393
2014-12-09 07:17:31,-0.393
2014-12-09 07:20:31,-0.393
2014-12-09 07:23:31,-0.393
2014-12-09 07:26:32,-0.444
2014-12-09 07:29:32,-0.393
2014-12-09 07:32:32,-0.393
2014-12-09 07:35:32,-0.393
2014-12-09 07:38:33,-0.418
2014-12-09 07:41:33,-0.393
2014-12-09 07:44:33,-0.393
2014-12-09 07:47:33,-0.393
2014-12-09 07:50:33,-0.393
2014-12-09 07:53:34,-0.393
2014-12-09 07:56:34,-0.393
2014-12-09 07:59:34,-0.342
2014-12-09 08:02:34,-0.367
2014-12-09 08:05:34,-0.367
2014-12-09 08:08:35,-0.367
2014-12-09 08:11:35,-0.291
2014-12-09 08:14:35,-0.291
2014-12-09 08:17:35,-0.367
2014-12-09 08:20:36,-0.367
2014-12-09 08:23:36,-0.367
2014-12-09 08:26:36,-0.367
2014-12-09 08:29:36,-0.367
2014-12-09 08:32:36,-0.367
2014-12-09 08:35:37,-3.908
2014-12-09 08:38:37,-0.367
2014-12-09 08:41:37,-0.367
2014-12-09 08:44:37,-0.367
2014-12-09 08:47:37,-0.367
2014-12-09 08:50:38,-0.367
2014-12-09 08:53:38,-0.342
2014-12-09 08:56:38,-0.673
2014-12-09 08:59:38,-0.367
2014-12-09 09:02:39,-0.367
2014-12-09 09:05:39,-0.367
2014-12-09 09:08:39,-0.367
2014-12-09 09:11:39,-4.162
2014-12-09 09:14:39,-0.342
2014-12-09 09:17:40,-0.367
2014-12-09 09:20:40,-0.342
2014-12-09 09:23:40,-0.367
2014-12-09 09:26:40,-0.342
2014-12-09 09:29:40,-0.367
2014-12-09 09:32:41,-0.342
2014-12-09 09:35:41,-0.316
2014-12-09 09:38:41,-0.316
2014-12-09 09:41:41,-0.342
2014-12-09 09:44:41,-0.316
2014-12-09 09:47:42,-0.342
2014-12-09 09:50:42,-0.316
2014-12-09 09:53:42,-0.316
2014-12-09 09:56:42,-0.342
2014-12-09 09:59:42,-0.342
2014-12-09 10:02:43,-0.316
2014-12-09 10:05:43,-0.342
2014-12-09 10:08:43,-0.316
2014-12-09 10:11:43,-0.316
2014-12-09 10:14:43,-0.316
2014-12-09 10:17:43,-0.316
2014-12-09 10:20:44,-0.342
2014-12-09 10:23:44,-0.342
2014-12-09 10:26:44,-0.342
2014-12-09 10:29:44,-0.342
2014-12-09 10:32:44,-0.724
2014-12-09 10:35:45,-0.316
2014-12-09 10:38:45,-0.342
2014-12-09 10:41:45,-0.316
2014-12-09 10:44:45,-0.342
2014-12-09 10:47:45,-0.316
2014-12-09 10:50:46,-0.342
2014-12-09 10:53:46,-0.316
2014-12-09 10:56:46,-0.342
2014-12-09 10:59:46,-0.316
2014-12-09 11:02:46,-0.342
2014-12-09 11:05:47,-0.342
2014-12-09 11:08:47,-0.342
2014-12-09 11:11:47,-5.156
2014-12-09 11:14:47,-0.342
2014-12-09 11:17:48,-0.342
2014-12-09 11:20:48,-0.316
2014-12-09 11:23:48,-0.316
2014-12-09 11:26:48,-0.342
2014-12-09 11:29:48,-0.316
2014-12-09 11:32:49,-0.316
2014-12-09 11:35:49,-0.316
2014-12-09 11:38:49,-0.342
2014-12-09 11:41:49,-0.342
2014-12-09 11:44:49,-0.316
2014-12-09 11:47:50,-0.316
2014-12-09 11:50:50,-0.265
2014-12-09 11:53:50,-0.291
2014-12-09 11:56:50,-0.265
2014-12-09 11:59:51,-0.265
2014-12-09 12:02:51,-0.265
2014-12-09 12:05:51,-0.265
2014-12-09 12:08:51,-0.265
2014-12-09 12:11:51,-0.24
2014-12-09 12:14:51,-0.265
2014-12-09 12:17:52,-0.265
2014-12-09 12:20:52,-0.265
2014-12-09 12:23:52,-0.265
2014-12-09 12:26:52,-0.265
2014-12-09 12:29:53,-0.265
2014-12-09 12:32:53,-0.24
2014-12-09 12:35:53,-0.24
2014-12-09 12:38:53,-0.291
2014-12-09 12:41:53,-0.291
2014-12-09 12:44:54,-0.291
2014-12-09 12:47:54,-0.291
2014-12-09 12:50:54,-0.291
2014-12-09 12:53:54,-0.291
2014-12-09 12:56:54,-0.265
2014-12-09 12:59:55,-0.265
2014-12-09 13:02:55,-0.265
2014-12-09 13:05:55,-0.265
2014-12-09 13:08:55,-0.265
2014-12-09 13:11:55,-0.265
2014-12-09 13:14:56,-0.24
2014-12-09 13:17:56,-0.24
2014-12-09 13:20:56,-0.24
2014-12-09 13:23:56,-0.24
2014-12-09 13:26:56,-0.265
2014-12-09 13:29:57,-0.24
2014-12-09 13:32:57,-0.24
2014-12-09 13:35:57,-7.244
2014-12-09 13:38:57,-0.24
2014-12-09 13:41:57,-0.24
2014-12-09 13:44:58,-0.24
2014-12-09 13:47:58,-0.24
2014-12-09 13:50:58,-0.24
2014-12-09 13:53:58,-0.24
2014-12-09 13:56:58,-0.265
2014-12-09 13:59:59,-0.24
2014-12-09 14:02:59,-0.24
2014-12-09 14:05:59,-0.24
2014-12-09 14:08:59,-0.24
2014-12-09 14:12:00,-0.24
2014-12-09 14:15:00,-0.24
2014-12-09 14:18:00,-0.24
2014-12-09 14:21:00,-0.24
2014-12-09 14:24:00,-0.24
